sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,logical resoning_p,specialisation,spc_p,status,salary
221FA04001,M,67,Others,91,Others,Maths,58,Btech,No,55,c++,58.8,Placed,270000
221FA04002,M,79.33,Central,78.33,Others,Maths,77.48,Btech,Yes,86.5,c++,66.28,Placed,200000
221FA04003,M,65,Central,68,Central,Maths,64,Btech,No,75,python,57.8,Placed,250000
221FA04004,M,56,Central,52,Central,Maths,52,Btech,No,66,frontend,59.43,Not Placed,
221FA04005,M,85.8,Central,73.6,Central,Maths,73.3,Btech,No,96.8,java,55.5,Placed,425000
221FA04006,M,55,Others,49.8,Others,Maths,67.25,Btech,Yes,55,javafullstack,51.58,Not Placed,
221FA04007,F,46,Others,49.2,Others,science,79,Btech,No,74.28,pythonfullstack,53.29,Not Placed,
221FA04008,M,82,Central,64,Central,Maths,66,Btech,Yes,67,mernstack,62.14,Placed,252000
221FA04009,M,73,Central,79,Central,Maths,72,Btech,No,91.34,python,61.29,Placed,231000
221FA04010,M,58,Central,70,Central,Maths,61,Btech,No,54,frontend,52.21,Not Placed,
221FA04011,M,58,Central,61,Central,Maths,60,Btech,Yes,62,java,60.85,Placed,260000
221FA04012,M,69.6,Central,68.4,Central,Maths,78.3,Btech,Yes,60,javafullstack,63.7,Placed,250000
221FA04013,F,47,Central,55,Others,science,65,Btech,No,62,pythonfullstack,65.04,Not Placed,
221FA04014,F,77,Central,87,Central,Maths,59,Btech,No,68,mernstack,68.63,Placed,218000
221FA04015,M,62,Central,47,Central,Maths,50,Btech,No,76,c++,54.96,Not Placed,
221FA04016,F,65,Central,75,Central,science,69,Btech,Yes,72,c++,64.66,Placed,200000
221FA04017,M,63,Central,66.2,Central,Maths,65.6,Btech,Yes,60,python,62.54,Placed,300000
221FA04018,F,55,Central,67,Central,Maths,64,Btech,No,60,c++,67.28,Not Placed,
221FA04019,F,63,Central,66,Central,Maths,64,Btech,No,68,c++,64.08,Not Placed,
221FA04020,M,60,Others,67,Others,Maths,70,Btech,Yes,50.48,python,77.89,Placed,236000
221FA04021,M,62,Others,65,Others,Maths,66,Btech,No,50,frontend,56.7,Placed,265000
221FA04022,F,79,Others,76,Others,Maths,85,Btech,No,95,java,69.06,Placed,393000
221FA04023,F,69.8,Others,60.8,Others,Maths,72.23,Btech,No,55.53,javafullstack,68.81,Placed,360000
221FA04024,F,77.4,Others,60,Others,Maths,64.74,Btech,Yes,92,pythonfullstack,63.62,Placed,300000
221FA04025,M,76.5,Others,97.7,Others,Maths,78.86,Btech,No,97.4,mernstack,74.01,Placed,360000
221FA04026,F,52.58,Others,54.6,Central,Maths,50.2,Btech,Yes,76,python,65.33,Not Placed,
